التصنيف,المستوى,السؤال,الإجابة,الموضوع
لغة عربية,صعب,ماذا تُسمّى شدّة الجوع؟,السُّعار,الموسوعة ص624
لغة عربية,صعب,ماذا تُسمّى الريح الليّنة؟,الرُّخاء,الموسوعة ص624
لغة عربية,تعجيزي,ماذا يُسمّى الحزن الشديد الذي لا يستطيع صاحبه كتمانه؟,البثّ,الموسوعة ص624
لغة عربية,متوسط,ماذا يُسمّى الجزع الشديد؟,الهلع,الموسوعة ص624
لغة عربية,صعب,ماذا يُسمّى التعب الشديد في قوله تعالى «لا يمسّهم فيها نَصَبٌ»؟,النَّصَب,الموسوعة ص624
لغة عربية,تعجيزي,ماذا يُسمّى الماء شديد الملوحة؟,الزُّعاق,الموسوعة ص625
لغة عربية,تعجيزي,ما الاسم الحقيقي لسيبويه؟,عمرو بن عثمان بن قنبر,الموسوعة ص628
لغة عربية,تعجيزي,ما اسم صغير القرد؟,القِشّة,الموسوعة ص628
لغة عربية,تعجيزي,أيّ طائر كنّاه العرب بـ«أبي الحسن» لجماله؟,الطاووس,الموسوعة ص629
أدب وفنون,صعب,ماذا تُسمّى قصائد الهجاء المتبادلة بين جرير والفرزدق والأخطل؟,النقائض,الموسوعة ص629
أدب وفنون,صعب,من مؤلّف «معجم الأدباء» و«معجم البلدان»؟,ياقوت الحموي,الموسوعة ص630
لغة عربية,تعجيزي,ما اسم صغير النعامة؟,الرَّأل,الموسوعة ص632
طب وصحة,صعب,ماذا تعني كلمة «ملاريا» في أصلها الإيطالي؟,الهواء الفاسد,الموسوعة ص632
لغة عربية,صعب,ماذا تعني «الأرض البلقع»؟,الخالية الخراب,الموسوعة ص633
لغة عربية,متوسط,من أيّ لغة جاءت كلمة «ريال»؟,الإسبانية,الموسوعة ص639
لغة عربية,صعب,كلمة «أسطول» دخلت العربية من أيّ لغة؟,اليونانية,الموسوعة ص639
لغة عربية,صعب,كلمة «فاتورة» دخلت العربية من أيّ لغة؟,الإيطالية,الموسوعة ص640
أدب وفنون,صعب,من الشاعر المصري الملقّب بـ«الملّاح التائه»؟,علي محمود طه,الموسوعة ص636
لغة عربية,تعجيزي,ماذا يُسمّى أوّل الشيب؟,الوَخْط,الموسوعة ص636
أدب وفنون,صعب,من الشاعر الذي يُعدّ مؤسّس الأدب الروسي الحديث وقُتل في مبارزة؟,ألكسندر بوشكين,الموسوعة ص637
أدب وفنون,صعب,بأيّ نوع من القصائد اشتهر النابغة الذبياني اعتذاراً للنعمان بن المنذر؟,الاعتذاريات,الموسوعة ص641
أدب وفنون,صعب,من الفارس الشاعر الجاهلي الذي خطب الخنساء فردّته؟,دريد بن الصمّة,الموسوعة ص642
لغة عربية,تعجيزي,من مؤلّف معجم «جمهرة اللغة»؟,ابن دريد,الموسوعة ص642
أدب وفنون,صعب,بأيّ اسم آخر عُرفت المعلّقات لأنها كُتبت بماء الذهب؟,المذهّبات,الموسوعة ص642
أدب وفنون,صعب,من العالم الذي يُعدّ مؤسّس علم البلاغة بكتابيه «دلائل الإعجاز» و«أسرار البلاغة»؟,عبد القاهر الجرجاني,الموسوعة ص643
لغة عربية,تعجيزي,من واضع علم الصرف؟,معاذ بن مسلم الهرّاء,الموسوعة ص643
أدب وفنون,صعب,من الشاعران العباسيان الملقّبان بـ«الطائيَّين»؟,أبو تمام والبحتري,الموسوعة ص644
لغة عربية,متوسط,ماذا يُسمّى الشاعر الذي أدرك الجاهلية والإسلام؟,المخضرم,الموسوعة ص644
أدب وفنون,تعجيزي,ما اسم الشاعر البحتري؟,الوليد بن عبيد,الموسوعة ص644
لغة عربية,تعجيزي,ما اسم بيض القمل؟,الصِّئبان,الموسوعة ص644
لغة عربية,صعب,ما اسم بيت الغزال؟,الكِناس,الموسوعة ص645
لغة عربية,تعجيزي,ما «الفرائص» في قولهم «ارتعدت فرائصه»؟,عضلات بين الكتف والصدر,الموسوعة ص645
لغة عربية,متوسط,ماذا تعني كلمة «قاموس» في أصلها اللغوي؟,البحر,الموسوعة ص646
لغة عربية,صعب,ما «السمهري» في كلام العرب؟,الرمح,الموسوعة ص646
أدب وفنون,تعجيزي,ما الاسم الحقيقي للشاعر أبي العتاهية؟,إسماعيل بن القاسم,الموسوعة ص647
أمثال وألغاز,صعب,ما «المستحيلات الثلاثة» في أمثال العرب؟,الغول والعنقاء والخلّ الوفيّ,الموسوعة ص647
لغة عربية,متوسط,ما معنى «العَذْل» في المثل «سبق السيفُ العَذَل»؟,اللوم,الموسوعة ص649
لغة عربية,تعجيزي,ما معنى كلمة «الحِجا»؟,العقل,الموسوعة ص649
لغة عربية,صعب,ما الحرف الذي يدلّ على امتناع شيء لوجود غيره؟,لولا,الموسوعة ص650
أدب وفنون,صعب,من مؤلّف مسرحية «يا طالع الشجرة»؟,توفيق الحكيم,الموسوعة ص649
أدب وفنون,متوسط,أيّ العصور يُعدّ العصر الذهبي للأدب العربي؟,العصر العباسي,الموسوعة ص650
تاريخ وحضارات,صعب,من والي البصرة الأموي صاحب «الخطبة البتراء» التي خلت من حمد الله؟,زياد بن أبيه,الموسوعة ص650
أدب وفنون,تعجيزي,من مؤلّف كتاب «العمدة في محاسن الشعر ونقده»؟,ابن رشيق القيرواني,الموسوعة ص651
لغة عربية,متوسط,ما تصغير كلمة «جارية»؟,جويرية,الموسوعة ص651
أدب وفنون,صعب,أيّ شاعر أموي قيل عنه إنه «ينحت من صخر» بينما جرير «يغرف من بحر»؟,الفرزدق,الموسوعة ص651
أدب وفنون,صعب,من الشاعر المهجري صاحب قصيدة «الطين» التي مطلعها «نسي الطينُ ساعةً أنه طين»؟,إيليا أبو ماضي,الموسوعة ص652
لغة عربية,صعب,ماذا يُسمّى ضرس العقل في العربية؟,الناجذ,الموسوعة ص652
لغة عربية,تعجيزي,أيّ شهر كانت العرب تسمّيه «مؤتمر» قبل الإسلام؟,المحرّم,الموسوعة ص652
أدب وفنون,تعجيزي,من مؤلّف كتاب «عيون الأخبار» في الأدب؟,ابن قتيبة,الموسوعة ص653
أدب وفنون,تعجيزي,من ناظم «لامية العجم»؟,الطغرائي,الموسوعة ص653
أدب وفنون,صعب,من الشاعر الصعلوك ناظم «لامية العرب»؟,الشنفرى,الموسوعة ص656
لغة عربية,تعجيزي,ماذا يُسمّى موضع بيض النعامة في الرمل؟,الأُدحيّة,الموسوعة ص654
أدب وفنون,صعب,من مؤلّف رواية «قنديل أمّ هاشم»؟,يحيى حقي,الموسوعة ص654
لغة عربية,تعجيزي,ما معنى كلمة «الخندريس»؟,الخمر,الموسوعة ص655
تاريخ وحضارات,صعب,من الشاعر العباسي الذي تولّى الخلافة يوماً واحداً ثم قُتل؟,ابن المعتز,الموسوعة ص655
تقنية ومنوعات,متوسط,ما اللقب الذي يُطلق على الأمريكي الشمالي ويُستعمل أحياناً للأمريكيين عموماً؟,يانكي,الموسوعة ص657
لغة عربية,صعب,ما معنى كلمة «الكاغد»؟,الورق,الموسوعة ص658
لغة عربية,صعب,من أيّ لغة جاءت كلمة «يخت»؟,الهولندية,الموسوعة ص659
لغة عربية,متوسط,ماذا تُسمّى حمرة الأفق بعد غروب الشمس؟,الشفق,الموسوعة ص662
لغة عربية,تعجيزي,ماذا تُسمّى المرأة التي تلد الذكور غالباً؟,المِذكار,الموسوعة ص664
لغة عربية,صعب,ما اسم أمير النحل عند العرب؟,اليعسوب,الموسوعة ص665
دين وسيرة,تعجيزي,من «السفيانان» عند علماء الحديث؟,سفيان الثوري وسفيان بن عيينة,الموسوعة ص665
القرآن الكريم,صعب,في أيّ سورة وردت قصة «مؤمن آل فرعون» الذي كتم إيمانه؟,غافر,الموسوعة ص116
القرآن الكريم,صعب,في أيّ سورة ذُكر معراج النبي ﷺ ورؤيته جبريل عند سدرة المنتهى؟,النجم,الموسوعة ص116
القرآن الكريم,صعب,ما السورة الوحيدة التي ذُكرت فيها قصة إلياس عليه السلام؟,الصافّات,الموسوعة ص117
قصص الأنبياء,صعب,بأيّ لقب يعرف النصارى نبيّ الله يحيى عليه السلام؟,المعمدان,الموسوعة ص126
قصص الأنبياء,صعب,ما مهنة نبيّ الله زكريا عليه السلام كما ورد في الحديث؟,نجّار,الموسوعة ص139
قصص الأنبياء,صعب,ما العلامة التي جعلها الله دليلاً على مُلك طالوت في القرآن؟,التابوت,الموسوعة ص155
قصص الأنبياء,متوسط,ما اللقب الذي عُرفت به مريم عليها السلام لانقطاعها للعبادة؟,البتول,الموسوعة ص155
قصص الأنبياء,صعب,أيّ قوم أهلكهم الله بعذاب «يوم الظُّلّة»؟,قوم شعيب,الموسوعة ص166
قصص الأنبياء,صعب,ما كنية إبراهيم عليه السلام لكرمه مع الضيوف؟,أبو الضيفان,الموسوعة ص169
قصص الأنبياء,تعجيزي,من الرجل من بني إسرائيل الذي أُوتي العلم ثم انسلخ منه فضُرب به المثل في القرآن؟,بلعام بن باعوراء,الموسوعة ص165
قصص الأنبياء,صعب,ما العلامة التي عرف بها موسى عليه السلام مكان لقاء الخضر؟,فقدان الحوت,الموسوعة ص162
قصص الأنبياء,متوسط,بأيّ صفتين وصفت ابنة الرجل الصالح موسى عليه السلام حين طلبت من أبيها استئجاره؟,القويّ الأمين,الموسوعة ص162
القرآن الكريم,تعجيزي,تُعرف سورة السجدة باسم آخر مأخوذ من آية فيها — ما هو؟,المضاجع,الموسوعة ص12
القرآن الكريم,تعجيزي,بأيّ اسم عُرفت سورة النصر لأنها آذنت بقرب وفاة النبي ﷺ؟,سورة التوديع,الموسوعة ص12
القرآن الكريم,صعب,ما الفاكهة التي يُفسَّر بها «الطلح المنضود» في سورة الواقعة؟,الموز,الموسوعة ص17
القرآن الكريم,صعب,ما الشيء الذي وصفه القرآن بأنه «يتنفّس» في سورة التكوير؟,الصبح,الموسوعة ص17
القرآن الكريم,صعب,ما السورة التي تنتهي كلّ آياتها بحرف الهاء؟,الهُمَزة,الموسوعة ص19
القرآن الكريم,متوسط,ما السورتان اللتان سُمّيت كلّ منهما بحرف واحد؟,ص و ق,الموسوعة ص23
القرآن الكريم,صعب,ما «الشاهد» و«المشهود» في سورة البروج على أشهر الأقوال؟,يوم الجمعة ويوم عرفة,الموسوعة ص29
القرآن الكريم,متوسط,ما أطول قصة وردت كاملة في سورة واحدة من القرآن؟,قصة يوسف,الموسوعة ص31
القرآن الكريم,صعب,ما اسم البيت الذي في السماء وأقسم الله به في سورة الطور؟,البيت المعمور,الموسوعة ص31
القرآن الكريم,صعب,في أيّ سورة ورد اسم «الهاوية» من أسماء النار؟,القارعة,الموسوعة ص16
القرآن الكريم,صعب,من الرجل الذي «جاء من أقصى المدينة يسعى» في سورة يس على قول المفسّرين؟,حبيب النجّار,الموسوعة ص34
القرآن الكريم,متوسط,ما الشجرة التي ذكر القرآن أنها تنبت في أصل الجحيم؟,الزقّوم,الموسوعة ص35
القرآن الكريم,تعجيزي,من صاحب التفسير المعروف بـ«معالم التنزيل»؟,البغوي,الموسوعة ص35
القرآن الكريم,صعب,ما «الليالي العشر» التي أقسم الله بها في سورة الفجر على أشهر الأقوال؟,العشر الأوائل من ذي الحجة,الموسوعة ص44
القرآن الكريم,تعجيزي,ما «الراجفة» المذكورة في سورة النازعات؟,النفخة الأولى في الصور,الموسوعة ص45
القرآن الكريم,صعب,بأيّ عذاب أهلك الله ثمود كما ورد في القرآن؟,الصيحة,الموسوعة ص57
قصص الأنبياء,صعب,من النبيّان الأب وابنه اللذان قتلهما بنو إسرائيل؟,زكريا ويحيى,الموسوعة ص60
القرآن الكريم,صعب,ما السور الثلاث المتتالية في المصحف التي سُمّيت بأسماء أنبياء؟,يونس وهود ويوسف,الموسوعة ص62
القرآن الكريم,متوسط,ما الشهر الوحيد الذي ورد اسمه صريحاً في القرآن؟,رمضان,الموسوعة ص63
الفقه والعبادات,صعب,ما السورتان اللتان كان النبي ﷺ يقرأ بهما في فجر الجمعة؟,السجدة والإنسان,الموسوعة ص64
القرآن الكريم,صعب,ماذا تُسمّى السور التي تبدأ بـ«سبّح» أو «يسبّح»؟,المسبّحات,الموسوعة ص64
القرآن الكريم,صعب,ما اسم النار الذي ورد في سورة الهمزة؟,الحُطَمة,الموسوعة ص65
القرآن الكريم,صعب,في أيّ سورة تقع أوّل سجدة تلاوة في المصحف؟,الأعراف,الموسوعة ص65
القرآن الكريم,صعب,في أيّ سورة ذُكرت مفاتح الغيب الخمس التي لا يعلمها إلا الله؟,لقمان,الموسوعة ص66
القرآن الكريم,متوسط,ما الكلمتان اللتان تجمعان حروف القلقلة في علم التجويد؟,قطب جد,الموسوعة ص68
القرآن الكريم,صعب,ما «الزمهرير» الذي نفى الله عن أهل الجنة رؤيته؟,البرد الشديد,الموسوعة ص74
دين وسيرة,صعب,ما «الشفاءان» اللذان قال عنهما ابن مسعود: عليكم بهما؟,القرآن والعسل,الموسوعة ص75
القرآن الكريم,صعب,ما اسم يوم القيامة الذي ورد في سورة عبس؟,الصاخّة,الموسوعة ص100
القرآن الكريم,صعب,ما اسم يوم القيامة الذي ورد في سورة النازعات؟,الطامّة الكبرى,الموسوعة ص101
القرآن الكريم,صعب,ما اسم أشرف شراب أهل الجنة الذي ورد في سورة المطففين؟,التسنيم,الموسوعة ص101
القرآن الكريم,صعب,ما طعام أهل النار الذي ورد في سورة الغاشية؟,الضريع,الموسوعة ص103
القرآن الكريم,متوسط,ما اسم ملائكة العذاب الذين ورد ذكرهم في سورة العلق؟,الزبانية,الموسوعة ص104
أمثال وألغاز,متوسط,ما الشيء الذي يُؤخذ منك قبل أن تحصل عليه؟,الصورة,الموسوعة ص519
أمثال وألغاز,متوسط,يابسٌ صافٍ كالماء، وُلد في النار، وإن عاد إليها انهار؛ فما هو؟,الزجاج,الموسوعة ص520
أمثال وألغاز,سهل,مدينة خضراء، سكّانها سود، أنهارها حمراء، وتُفتح بالحديد؛ فما هي؟,البطيخة,الموسوعة ص520
أمثال وألغاز,سهل,ما البيت الذي ليس له باب ولا سُلَّم ولا جدران؟,بيت الشعر,الموسوعة ص521
أمثال وألغاز,متوسط,أين تجد أنهاراً بلا ماء وجبالاً بلا صخر ومدناً بلا سكّان؟,على الخريطة,الموسوعة ص521
أمثال وألغاز,متوسط,كلمة إن قرأتها من اليمين كانت مدينة عربية، وإن قرأتها من اليسار كانت فاكهة؛ فما هي؟,حلب,الموسوعة ص521
أمثال وألغاز,سهل,ما الشيء الذي تشتريه أسود ولا تنتفع به إلا أحمر؟,الفحم,الموسوعة ص521
أمثال وألغاز,سهل,ما الشيء الذي له ثلاث عيون ورجل واحدة؟,إشارة المرور,الموسوعة ص521
أمثال وألغاز,متوسط,كم يساوي سُدس عُشر الساعة؟,دقيقة واحدة,الموسوعة ص522
أمثال وألغاز,متوسط,تُذبح ولا تُقشَّر، وابنتها تُقشَّر ولا تُذبح؛ فما هي؟,الدجاجة,الموسوعة ص523
أمثال وألغاز,سهل,يمشي على أربع، ثم على اثنتين، ثم على ثلاث؛ فمن هو؟,الإنسان,الموسوعة ص523
أمثال وألغاز,صعب,ما الصلاة السرّية الوحيدة التي تقع بين صلاتين جهريّتين؟,عصر الجمعة,الموسوعة ص523
أمثال وألغاز,صعب,ما اللحم الذي يجوز أكله ولا يجوز بيعه؟,لحم الأضحية,الموسوعة ص523
أمثال وألغاز,سهل,شيء إذا ذبحته بكيت عليه؛ فما هو؟,البصل,الموسوعة ص524
أمثال وألغاز,متوسط,زوجان: لا هو من بني آدم، ولا هي من بنات حواء؛ فمن هما؟,آدم وحواء,الموسوعة ص524
أمثال وألغاز,صعب,كم مرّة ينطبق عقربا الساعة أحدهما على الآخر في اليوم الواحد؟,22 مرّة,الموسوعة ص524
أمثال وألغاز,متوسط,متى تستطيع أن تحمل الماء في غربال؟,إذا تجمّد,الموسوعة ص525
أمثال وألغاز,متوسط,في عائلة سبعة أولاد، ولكلّ واحدٍ منهم أخت؛ فكم عدد الأخوات؟,أخت واحدة,الموسوعة ص536
أمثال وألغاز,متوسط,من الذي يرى عدوّه وصديقه بعين واحدة؟,الأعور,الموسوعة ص525
أمثال وألغاز,صعب,رجل إذا أعطاك قفاه حكمك، وإذا أعطاك وجهه انتهى حكمه؛ فمن هو؟,إمام الصلاة,الموسوعة ص525
أمثال وألغاز,سهل,أيّهما أثقل: كيلو من الحديد أم كيلو من القطن؟,متساويان,الموسوعة ص539
أمثال وألغاز,متوسط,ما اللعبة التي يتراجع فيها الفائز إلى الخلف؟,شدّ الحبل,الموسوعة ص527
أمثال وألغاز,متوسط,ماء ليس من الأرض ولا من السماء؛ فما هو؟,ماء الوجه,الموسوعة ص527
أمثال وألغاز,متوسط,حرف تجده في السودان والسعودية وسوريا والصومال، ولا تجده في مصر؛ فما هو؟,الواو,الموسوعة ص527
أمثال وألغاز,سهل,شيء تجده في مكة وجدة ولا تجده في الرياض؛ فما هو؟,التاء المربوطة,الموسوعة ص528
أمثال وألغاز,سهل,كم شهراً في السنة فيه 28 يوماً؟,كلّ الشهور,الموسوعة ص528
أمثال وألغاز,متوسط,سائلان متجاوران مختلفا اللون، إذا تجمّدا أُكلا؛ فما هما؟,بياض البيضة وصفارها,الموسوعة ص528
أمثال وألغاز,سهل,ما الشيء الذي لا تنتفع به إلا إذا وضعت أصابعك في عينيه؟,المقصّ,الموسوعة ص528
أمثال وألغاز,سهل,له خمسة أصابع بلا عظم ولا لحم؛ فما هو؟,القفّاز,الموسوعة ص528
أمثال وألغاز,سهل,كبير عند الشروق، صغير عند الظهيرة، كبير عند المساء؛ فما هو؟,الظلّ,الموسوعة ص528
أمثال وألغاز,متوسط,ما الشيء الذي إذا ابيضّ اتّسخ؟,السبّورة,الموسوعة ص529
أمثال وألغاز,سهل,أربعة يحملون الجمل ولا يحملهم الجمل؛ فما هي؟,قوائمه,الموسوعة ص529
أمثال وألغاز,متوسط,من الذي يتمنّى أن يكون أعور؟,الأعمى,الموسوعة ص529
أمثال وألغاز,متوسط,حرف في أوّل الخلود ومنتصف الآخرة ونهاية الصراخ؛ فما هو؟,الخاء,الموسوعة ص542
أمثال وألغاز,متوسط,يخرج من الماء، وإذا عاد إليه مات؛ فما هو؟,الملح,الموسوعة ص529
أمثال وألغاز,متوسط,ما الحقّ الذي يكرهه الناس كلّهم؟,الموت,الموسوعة ص530
أمثال وألغاز,متوسط,ما الرقم الذي يزيد ثلاثة إذا قلبته رأساً على عقب؟,6,الموسوعة ص530
أمثال وألغاز,صعب,لديك ثلاثة صناديق، في كلّ صندوق ثلاثة صناديق، وفي كلّ من هذه ثلاثة صناديق؛ فكم عدد الصناديق كلّها؟,39,الموسوعة ص534
أمثال وألغاز,متوسط,رجل بلغ الأربعين وكان يحتفل بعيد ميلاده العاشر فقط؛ فمتى وُلد؟,29 فبراير,الموسوعة ص534
أمثال وألغاز,متوسط,شجرة لها 12 فرعاً، في كلّ فرع 30 ورقة، وجه الورقة أبيض وظهرها أسود؛ فما هي؟,السنة,الموسوعة ص535
أمثال وألغاز,صعب,وقعت بطّة في حفرة عمقها عشرة أمتار، تصعد في النهار مترين وتهبط في الليل متراً؛ فبعد كم يوم تخرج؟,تسعة أيام,الموسوعة ص535
أمثال وألغاز,متوسط,شيء في حجم الفيل وأخفّ من الريشة؛ فما هو؟,ظلّه,الموسوعة ص538
أمثال وألغاز,متوسط,ما الشيء الذي لا نبتلعه وهو يبتلعنا؟,البحر,الموسوعة ص538
أمثال وألغاز,صعب,ما المسافة بين أوّل حرف وآخر حرف في كلمة «جميلة»؟,ميل,الموسوعة ص538
أمثال وألغاز,صعب,ثلاث في الشمس واثنتان في القمر؛ فما هي؟,النقاط,الموسوعة ص539
أمثال وألغاز,متوسط,حرف تجده في أوروبا وأستراليا وأمريكا وأفريقيا، ولا تجده في آسيا؛ فما هو؟,الراء,الموسوعة ص539
أمثال وألغاز,متوسط,ما الشيء الذي نشتريه بالمتر ونستهلكه بالقدم؟,السجّادة,الموسوعة ص540
أمثال وألغاز,متوسط,ما السؤال الذي تختلف إجابته في كلّ مرّة يُطرح فيها؟,كم الساعة؟,الموسوعة ص540
أمثال وألغاز,متوسط,ما الصلاة التي تصحّ بلا وضوء؟,الصلاة على النبي ﷺ,الموسوعة ص540
أمثال وألغاز,متوسط,طائر إذا أخذت عينه نام؛ فما هو؟,النعام,الموسوعة ص541
أمثال وألغاز,سهل,رفيقان: أحدهما تراه ولا تسمعه، والآخر تسمعه ولا تراه؛ فما هما؟,البرق والرعد,الموسوعة ص541
أمثال وألغاز,متوسط,حامل ومحمول، نصفه يابس ونصفه مبلول؛ فما هو؟,السفينة,الموسوعة ص541
أمثال وألغاز,سهل,ما الشيء الذي ينبض بلا قلب؟,الساعة,الموسوعة ص541
أمثال وألغاز,متوسط,كان لحواريّي عيسى عليه السلام ولم يكن له؛ فما هو؟,الأب,الموسوعة ص541
أمثال وألغاز,متوسط,ما الميناء الذي لا ترسو فيه سفينة؟,ميناء الساعة,الموسوعة ص542
أمثال وألغاز,سهل,ما العقرب الذي لا يلدغ ولا يخافه أحد؟,عقرب الساعة,الموسوعة ص542
أمثال وألغاز,متوسط,لها أب وأمّ وليست ابن أحد؛ فمن هي؟,البنت,الموسوعة ص543
أمثال وألغاز,متوسط,ما الشيء الذي يعضّك ولا تراه؟,الجوع,الموسوعة ص543
أمثال وألغاز,صعب,ما الذي يسير على رأسه تحت الأقدام؟,مسمار الحذاء,الموسوعة ص544
أمثال وألغاز,متوسط,جدرانها من ذهب وماؤها من عسل؛ فما هي؟,البرتقالة,الموسوعة ص544
أمثال وألغاز,صعب,كلمة إذا نكّرتها صارت معرفة، وإذا عرّفتها صارت نكرة؛ فما هي؟,أمس,الموسوعة ص544
أمثال وألغاز,صعب,من ابن خالِ ابنِ عمّتك؟,أنت,الموسوعة ص544
أمثال وألغاز,متوسط,حصان يخوض المعارك بلا لجام ولا سرج؛ فما هو؟,حصان الشطرنج,الموسوعة ص545
أمثال وألغاز,سهل,عاصمة عربية، وعضو في الفيل، وأداة تنقل الماء؛ فما هي؟,الخرطوم,الموسوعة ص545
أمثال وألغاز,صعب,ما العدد الذي ثلثاه زائد ثلاثة أرباعه يساوي 170؟,120,الموسوعة ص534
أمثال وألغاز,صعب,سمكة ثلثها في الطين وربعها في الماء والباقي خارجهما وطوله 30 سم؛ فكم طولها؟,72 سم,الموسوعة ص535
أمثال وألغاز,تعجيزي,قال ولد: أخواتي بعدد إخوتي، وقالت أخته: إخوتي ثلاثة أضعاف أخواتي؛ فكم عدد الإخوة والأخوات جميعاً؟,خمسة,الموسوعة ص535
أمثال وألغاز,متوسط,أبوك جدّها، وأخوك عمّها، وأنت زوج أمّها؛ فمن هي؟,ابنتك,الموسوعة ص541
أمثال وألغاز,متوسط,اثنتان دفنتا أخاهما، والميت لم يكن له أخ؛ فمن هما؟,أختاه,الموسوعة ص542
أمثال وألغاز,سهل,أخو عمّك وليس بعمّك، وهو أقرب الناس إليك؛ فمن هو؟,أبوك,الموسوعة ص539
أمثال وألغاز,متوسط,قال خالد: لأبي ولدان أحدهما ليس أخي؛ فمن هو؟,خالد نفسه,الموسوعة ص545
أمثال وألغاز,متوسط,ما الذي تجده في نصف «مصر»؟,حرف الصاد,الموسوعة ص530
طب وصحة,صعب,ما الاسم الآخر لمرض «الشاهوق»؟,السعال الديكي,الموسوعة ص793
طب وصحة,صعب,أيّ عضو تصله «قناة استاكيوس» بالبلعوم؟,الأذن الوسطى,الموسوعة ص795
علوم واختراعات,متوسط,ما الجهاز الذي يُقاس به شدّة التيار الكهربائي؟,الأميتر,الموسوعة ص797
طب وصحة,متوسط,ماذا يُسمّى الموضع الطريّ في رأس الرضيع الذي يتصلّب مع نموّه؟,اليافوخ,الموسوعة ص799
طب وصحة,صعب,ما الاسم الطبي للمادة الشمعية التي تفرزها الأذن؟,الصِّملاخ,الموسوعة ص800
طب وصحة,صعب,ما اسم الغضروف الحنجري البارز المعروف بـ«تفّاحة آدم»؟,الغضروف الدرقي,الموسوعة ص805
طب وصحة,صعب,من أشهر أطباء العرب في الجاهلية وصدر الإسلام وتخرّج في جنديسابور؟,الحارث بن كلدة,الموسوعة ص805
أحياء وفلك,متوسط,ما الذبابة التي تنقل مرض النوم في أفريقيا؟,تسي تسي,الموسوعة ص810
أحياء وفلك,سهل,على ماذا يتغذّى دبّ الباندا أساساً؟,الخيزران,الموسوعة ص811
طب وصحة,متوسط,أيّ جزء من جسم الإنسان يحوي نحو ربع عظامه؟,القدمان,الموسوعة ص811
طب وصحة,صعب,ما الهرمون المسؤول عن إدرار الحليب عند الأمّ؟,البرولاكتين,الموسوعة ص812
طب وصحة,صعب,ما الهرمون الذي يثبّت الحمل ويُسمّى هرمون الحمل؟,البروجسترون,الموسوعة ص812
طب وصحة,متوسط,ما فصيلة الدم الأكثر شيوعاً بين البشر؟,O,الموسوعة ص812
طب وصحة,متوسط,أيّ شعب ابتكر العلاج بالوخز بالإبر؟,الصينيون,الموسوعة ص813
لغة عربية,صعب,ما الاسم العربي الذي وضعته المجامع اللغوية للبلاستيك؟,اللدائن,الموسوعة ص813
علوم واختراعات,متوسط,ما وحدة قياس سرعة السفن؟,العقدة,الموسوعة ص813
طب وصحة,سهل,ما الاسم الطبي لسرطان الدم؟,اللوكيميا,الموسوعة ص815
علوم واختراعات,تعجيزي,كلمة «رادار» اختصار لعبارة إنجليزية — ماذا تعني؟,الكشف وتحديد المواقع بموجات الراديو,الموسوعة ص806
علوم واختراعات,متوسط,ما الغاز الذي يُصنع منه «الثلج الجاف» بتجميده؟,ثاني أكسيد الكربون,الموسوعة ص816
طب وصحة,متوسط,ما المرض المفصلي الذي كان يُسمّى «داء الملوك» ويصيب إبهام القدم غالباً؟,النقرس,الموسوعة ص817
طب وصحة,صعب,ما الاسم الطبي العربي للقصبة الهوائية؟,الرغامى,الموسوعة ص817
علوم واختراعات,صعب,ما الغاز المعروف بـ«غاز الضحك» ويُستعمل في التخدير؟,أكسيد النيتروز,الموسوعة ص823
طب وصحة,متوسط,ما اسم الشرايين التي تغذّي عضلة القلب نفسها؟,الشرايين التاجية,الموسوعة ص826
طب وصحة,متوسط,ما اسم القناة التي تصل بين المبيض والرحم؟,قناة فالوب,الموسوعة ص827
أحياء وفلك,متوسط,أيّ حيوان له أطول مدّة حمل بين الثدييات تقارب سنتين؟,الفيل,الموسوعة ص822
رياضة وأرقام,تعجيزي,أيّ إمبراطور روماني أوقف الألعاب الأولمبية القديمة سنة 393م فتعطّلت نحو ألف وخمسمئة عام؟,ثيودوسيوس الأول,الموسوعة ص550
رياضة وأرقام,صعب,ماذا تعني كلمة «تايكوندو» في أصلها الكوري؟,طريق القدم واليد,الموسوعة ص553
كأس العالم,صعب,أيّ منتخب فاز بأوّل مباراة في تاريخ كأس العالم سنة 1930 على المكسيك؟,فرنسا,الموسوعة ص553
رياضة وأرقام,تعجيزي,في أيّ دولة أُقيمت أوّل بطولة لكأس العرب سنة 1963؟,لبنان,الموسوعة ص557
رياضة وأرقام,صعب,أيّ منتخب فاز بأوّل بطولة عالم لكرة السلة سنة 1950 على أرضه؟,الأرجنتين,الموسوعة ص558
رياضة وأرقام,متوسط,ما الرياضة التي تُلقَّب بـ«أمّ الألعاب»؟,ألعاب القوى,الموسوعة ص561
الكويت,صعب,أيّ نادٍ كويتي فاز بأوّل بطولة للأندية الخليجية سنة 1982؟,العربي,الموسوعة ص561
رياضة وأرقام,سهل,كم تبعد نقطة الجزاء عن خطّ المرمى في كرة القدم؟,11 متراً,الموسوعة ص563
كأس العالم,صعب,من قائد منتخب إنجلترا حين فاز بكأس العالم 1966؟,بوبي مور,الموسوعة ص560
رياضة وأرقام,تعجيزي,من أوّل لاعب عربي يفوز بجائزة أفضل لاعب في أفريقيا سنة 1975؟,أحمد فرس,الموسوعة ص558
